address1,address2,aging,anti_discrimination_human_rights,arts_culture,bbl,bin,borough,bronx,brooklyn,business,census_tract,child_care_parent_information,city,community_board,community_council,community_service_volunteerism,counseling_support_groups,description,disabilities,domestic_violence,education,employment_job_training,faith_based_organization,fax,foundation,health,homelessness,housing,immigration,is_registered_with_the_attorney_general_s_office,latitude,legal_services,lesbian_gay_bisexual_and_or_transgender,location_1,longitude,manhattan,new_york_city_agency,none_of_the_above,nonprofit,nourl,nta,organizationname,other_government_organization,outsideloc,outsidelocdesc,personal_finance_financial_education,phone,postcode,professional_association,published,queens,staten_island,url,veterans_military_families,victim_services,youth_services
NYC Department of Consumer Affairs,"42 Broadway, 8th floor",N,N,N,,,,Y,Y,N,,N,New York,,,N,N,"The Department of Consumer Affairs' Office of Financial Empowerment (OFE) is the first local government initiative in the nation aimed expressly at educating, empowering, and protecting those with low incomes, so they can build assets and make the most of their financial resources. OFE is the first program to be implemented under the Center for Economic Opportunity as part of Mayor Bloomberg's aggressive efforts to fight poverty in New York City.",N,N,N,N,N,2124873184,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,Office of Financial Empowerment,N,N,,Y,2122329580,10004,N,Published,Y,Y,http://nyc.gov/ofe,N,N,N
,,Y,N,N,,,,Y,Y,N,,Y,New York,,,N,Y,"The New York City Family Justice Center Initiative of the Mayorâ€™s Office to Combat Domestic Violence reduces barriers faced by victims of domestic violence who are seeking help.  This innovative program enables victims to meet with a prosecutor, speak with a trained counselor, and apply for housing and financial assistance in just one visit â€“ all in their native language while their children play safely in the next room.  By providing services in one location with partnering City agencies and community providers, the Brooklyn and Queens Centers are increasing the effectiveness of service delivery to break the cycle of violence.   Mayor Bloomberg has committed to opening a third Center in the Bronx.  The New York City Family Justice Center Initiative is a private/public partnership of the Mayorâ€™s Fund to Advance New York City, a 501(c)(3) not-for-profit organization established to promote partnerships between the City and the private sector.",N,Y,Y,Y,N,,N,N,N,Y,Y,N,,Y,Y,,,Y,Y,N,N,N,,Family Justice Centers,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/ocdv/html/fjc/fjc.shtml,N,Y,N
,,Y,N,Y,,,,N,Y,N,,N,Brooklyn,,,Y,N,"As an independent system, separate from the New York City and Queens libraries, Brooklyn Public Library serves the borough's 2.5 million residents, offering thousands of public programs, millions of books and use of more than 850 free Internet-accessible computers. Just some of the many things you can do at BPL:

Use our Articles & Databases to conduct research.
Learn about Brooklyn's rich history at the Brooklyn Collection. 
Get all the information you need to start your own enterprise at the Business Library. 
Learn a new language at the Multilingual Center. 
Attend an author reading, poetry discussion or other public program offered throughout the year. 


And much more. It's free - and it's at your doorstep in one of Brooklyn's 60 public libraries.",Y,N,Y,Y,N,,N,N,N,N,Y,N,,N,N,,,N,N,N,Y,N,,Brooklyn Public Library,N,N,,N,7182302100,,N,Published,N,N,http://www.brooklynpubliclibrary.org/,N,N,Y
Third Avenue at 159th Street,,N,N,N,,,,Y,N,N,,N,Bronx,,,N,N,"The Financial Empowerment Center in Melrose was created in partnership with the New York City Department of Consumer Affairsâ€™ Office of Financial Empowerment (OFE), with support from the Insurance Industry Charitable Foundation of New York. The Financial Empowerment Center is located at the Phipps Opportunity Center, a Phipps Community Development Corporation community education site, where clients are able to take advantage of the Centerâ€™s other resources, including computer training, literacy instruction (English as a Second Language), General Equivalency Diploma (GED) preparation, and family programs. Clients enrolled in classes are eligible for on-site childcare with pre-registration and proof of a physical examination. The Financial Empowerment Center in Melrose offers one-on-one financial counseling and coaching services led by trained professionals. Services are offered free of charge, in English and Spanish, and are completely confidential.

New Yorkers can call to schedule just one session or several sessions, as needed, to receive assistance in the following areas:

â€¢ Money management and budgeting
â€¢ Financial planning
â€¢ Credit and debt counseling
â€¢ Support for dealing with creditors
â€¢ Affordable banking services
â€¢ Government benefit screenings
â€¢ Strategic referrals to other services and organizations",N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,N,Y,N,N,N,,OFE's Financial Empowerment Center at Phipps,N,N,,Y,3473293929,10451,N,Published,N,N,http://www.nyc.gov/ofe,N,N,N
,,N,N,Y,,,,Y,Y,N,,N,New York,,,N,N,"NYC Ladders for Leaders is an innovative program that offers high school and college students the opportunity to participate in summer internships with some of the most dynamic corporations and businesses in New York City. Participants receive pre-employment training before starting their seven-week summer internships, and also attend regular workshops throughout the summer that focus on work readiness, college orientation, health, and leadership development. NYC Ladders for Leaders is a partnership between the Commission on Women's Issues and the Department of Youth and Community Development.",N,N,Y,Y,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Ladders for Leaders,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/cwi/html/programs/ladders.shtml,N,N,Y
,,N,N,N,,,,N,N,N,,N,"New York, NY",,,N,N,,N,N,Y,N,N,,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,Harlem Children's Zone,N,N,,N,,,N,Published,N,N,,N,N,N
405 Main Street,Suite *,N,N,N,,,,Y,Y,N,,N,Port Washington,,,N,N,"Our mission is to empower all women-through physician and patient education-to be proactive about healthcare in order to achieve ultimate well-being in mind, body and spirit.WFFH inpact goals include providing health and wellness information to women at all economic levels though transitional shelters, department stores, spas and salons,health fairs, schools, traditional meida outlets and the Internet.",N,N,N,N,N,5169448663,N,Y,N,N,N,N,,N,N,,,N,N,N,Y,N,,USIF World Foundation for Medical Studies in Female Health,N,Y,Port Washington,N,5169443192,11050,N,Published,N,N,http://www.wffh.org,N,N,N
"70 West 36 Street, #701",,N,N,Y,1008377501,1015916,MANHATTAN,Y,Y,N,84,N,New York,5,4,N,N,,N,N,N,N,N,2126875558,N,Y,N,N,N,N,40.750744,N,N,"{'latitude': '40.750744', 'needs_recoding': False, 'longitude': '-73.986072'}",-73.986072,Y,N,N,Y,N,Midtown-Midtown South                                                      ,Russian American Foundation,N,N,,N,2126876118,10018,N,Published,Y,Y,http://www.RussianAmericanFoundation.org,N,N,N
PO Box 6206,,N,N,N,,,,Y,N,N,,N,BRONX,,,Y,N,"Sigma Gamma Rho Sorority, Inc. is a non-profit collegiate organization dedicated to the encouragement and promotion of high scholastic attainment, community service and the improvement of the quality of our lives and the society in which we live.

Today there are more than 400 undergraduate and alumni chapters with over 80,000 members throughout the United States, Africa the Caribbean and Europe. 

Sisterhood, Scholarship and Service are the principles that bond Sigma Women. Principles the founders of this organization thought to be of great importance. Promoting unity is the common purpose of our sisterhood. Our founders believed that promoting higher education of women ensures the stability of the futures. 

The Theta Rho Sigma Chapter of Sigma Gamma Rho Sorority Inc. is the third Alumnae chapter in the five boroughs of New York City.  Ten dynamic young women, who all represent the true meaning of trailblazers, organized the chapter on November 1, 1998 in The Bronx, New York.  Theta Rho Sigma is about progressive change and setting new trends.  Our mission is to take Sigma Gamma Rho Sorority Inc. to a new level by working together towards a common goal.",N,N,Y,N,N,,N,N,N,N,N,N,,N,N,,,N,N,N,Y,N,,"Sigma Gamma Rho Sorority Inc., Theta Rho Sigma Chapter",N,Y,"Throughout the US, Korea, Bermuda, Virgin Islands",N,3479871922,10451,Y,Published,N,N,http://www.thetarhosigma.net,N,N,N
"33-47 91st Street, FLR GND",,Y,Y,N,,,,N,N,Y,,N,Jackson Heights,,,Y,Y,"501(C)(3) Community based Organization (CBO) founded in 1975, serving some of the poorest, most diverse neighborhoods  in Queens. The   Kehillah is a ""one-stop"" social service agency providing SafetyNet services -  case management, crisis intervention, Kosher Food Pantry, Kosher Meals-on-Wheels, ESL, Acculturation, Citizenship, Immigrants (former emigrees from the Former Soviet Union), Cultural and Community Events.",Y,Y,Y,Y,N,7184575212,N,Y,N,Y,Y,N,,N,N,,,N,N,N,Y,N,,"Jackson Heights-Elmhurst Kehillah, Inc.",N,N,,Y,7184574591,11581,N,Published,Y,N,http://www.queens-kehillah@juno.com,N,N,Y
601 W 168th St. #7 & 8,,N,N,N,1021380108,1063384,MANHATTAN,N,N,N,251,N,New York,12,10,Y,N,"Women at Risk is the Breast Cancer Program at NewYork-Presbyterian Hospital/Columbia University Medical Center.  Our mission is to enhance the lives of women who are at high risk for the development of breast cancer and women with breast cancer through research, education and support.  We offer a variety of programs for both high-risk women and women with breast cancer.",N,N,N,N,N,2123054420,N,Y,N,N,N,N,40.841278,N,N,"{'latitude': '40.841278', 'needs_recoding': False, 'longitude': '-73.940212'}",-73.940212,Y,N,N,Y,N,Washington Heights South                                                   ,Women At Risk,N,N,,N,2123059525,10032,N,Published,N,N,http://nyp.org/services/war/index.html,N,N,N
2386 Ryer Avenue,,N,N,N,2031520007,2013579,BRONX    ,Y,N,N,23702,N,Bronx,5,15,N,Y,Residential Housing Facility,N,N,N,N,N,7183290101,N,N,Y,Y,N,N,40.859583,N,N,"{'latitude': '40.859583', 'needs_recoding': False, 'longitude': '-73.89796'}",-73.89796,N,N,N,Y,Y,Bedford Park-Fordham North                                                 ,Ryer Avenue Housing Development Fund Corporation,N,N,,N,7183290600,10458,N,Published,N,N,,N,N,N
,,N,N,N,,,,Y,Y,N,,N,New York,,,N,N,"The largest Asian American domestic violence organization in the nation, for over 25 years the New York Asian Women's Center (NYAWC) has helped women overcome violence and govern their own lives, free of abuse. The Center also raises public awareness about domestic violence and urges equality and opportunity for all women.",N,Y,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,New York Asian Women's Center,N,N,,N,8888887702,,N,Published,Y,Y,http://www.nyawc.org,N,Y,N
P.O. Box 310998,,N,N,Y,,,,N,N,N,,N,"Jamaica, N.Y.",,,Y,Y,"501[c][3] Non Profit Cancer Charitable organization.
Mission is to design and create hair & head wear for women and children who are bald from cancer chemotherapy treatment and those with hair loss from other medical conditions Custom head wear is created for all nationalities and cultures. Special design for little girls and children, due to the limited resources for kids.",N,N,Y,N,N,3472332774,N,Y,N,N,N,N,,N,N,,,N,N,N,Y,N,,Where There's A Need Inc,N,N,,N,3472332774,11431,N,Published,Y,N,http://www.wheretheresaneed.org,N,N,Y
PO Box 1449,,N,N,N,,,,N,N,N,,N,New York,,,N,Y,MBCN is a national independent advocacy group of and for individuals with metastatic breast cancer. We give those living with stage 4 breast cancer a greater voice in the breast cancer community. MBCN is dedicated to helping those with metastatic breast cancer be their own advocate through providing education and information on treatments and coping with the disease.,N,N,Y,N,N,,N,Y,N,N,N,N,,N,N,,,Y,N,N,Y,N,,Metastatic Breast Cancer Network,N,N,,N,8885000370,10159,N,Published,N,N,http://www.mbcnetwork.org,N,N,N
